Score, Seed, Gene
2, 61495, 354004224001405452243334312142510324525312214440340241405134044222543332334204102331403415244311322314452041323504250431440212022202115022041021453145525310210125250451014211331213440001035242205450340052510432545000143244201302235332452220302
2, 994736, 454340255424553333305523402452115520200330232412100242034342032413320135302024431433533202112202020223133512510341511104301454554255155040134332243135015412120310520151212212243430535311035402112143325230001133005402151252453005150412532121254
2, 994736, 455052250024552023005523402452121522200310132452102242034342002421210235314020431423505230112201030123134212510341511354301454004212155140134030050030152143011435511321522052542002134132221201331413211321251241120120450033513134552511215442123
3, 994736, 455353151000552023005503412155121502200310233402122242335342032422210330354024431423505330012251035123234222530345512354301453004315155140104530055030252323211032253321032553542032153130521231332103203032251122133120110255453020030412531521254
3, 994736, 455352231022555225205521405452112122102310222350115543034323231420133210324220235223205330011111123323230320320105500334501152001253102550324220300030155313212012501352303551445401525113231410115410210132251202253120450010553134532525112121025
3, 994736, 055152311113210225005023555433121555152310305420252241214312053451555315120022355425100330311111135103223223320125502334130025254253112015125220550520030321355232253301302003053355525210551401325140203251305120305520110021110234302233223151125
3, 994736, 455352330213252023005523415533521523102201312450152141214323552231155333520122351423305330111313135123231223320105233335501133534322121010125520150530035155250230250305303003052433512211531301135130233552005020105320150052115234202233215322120
3, 994736, 332101230115352150202011450302100221212315501223550045352233102002350153352200501352233305352511535552233233202301212050525520000251201252131202150125555353230012150223331301305533550222133155353015500252230352330520033020532251303332103103125
3, 994736, 355121230515150033055011001330520221103055020330525201111213302521312153351050502522032050230555023003131533220031202032103320553100223233321223052122053535002012152255105202102332521125122122252155502320015552200233035315103351533500521525502
4, 994736, 210121220105350020321511021030313201002555520020102541552213152001300132315230502532050350300355523005233505252011210135102131555100233212321220352122053352002512252552105212501335521025122122022051012325055553250130333312003151515500551022302
4, 994736, 115222322032320130151353222111353011255551211231322505252355112523100153255201312002310250503211123052313230310151320002012512321010335352320201120130103505100213222533100023212302232015022125052030502250020513321051250125525103552052002305500
5, 994736, 351222103325331203031113115151133532100051323002053111530000105151353052311221253323101122050102031000222532011122012152252201350220501012305023122311001231251110221525132320255033300111311505312121001010110135503223021002205131510111235312020
5, 994736, 255355150505023023130502025325203312023050033350515033001552550135532202251025213032031235053102531310012015133352251212322105310033232253230310553105223022335153131110301150115150150255100023153331301133221132152122010531121201222115132110015
5, 994736, 230523022255005505252322225003210255155033250222513005333313202512520322550311121153321221100055132521322135500031330200535021230325332031333250352130201123123520231312225122502322321211000321510125002225011153530051005352313222131110501152050
