Generation,Current Average,Current High,Size,TurnLim,Mutations,newseedfreq,Inequity,oldvsnew,percChild
5,-1.175,2,6,10,80,2000,10,0.05,0.2
10,-2.825,3,6,10,80,2000,10,0.05,0.2
15,-0.5,2,6,10,80,2000,10,0.05,0.2
20,-4.725,2,6,10,80,2000,10,0.05,0.2
25,-6.15,1,6,10,80,2000,10,0.05,0.2
30,-2.925,1,6,10,80,2000,10,0.05,0.2
35,-3.275,2,6,10,80,2000,10,0.05,0.2
40,-5.1,3,6,10,80,2000,10,0.05,0.2
45,-3.675,2,6,10,80,2000,1,0.05,0.2
50,-9.275,1,6,10,80,2000,1,0.05,0.2
55,-2.175,3,6,10,80,2000,1,0.05,0.2
60,-6.6,2,6,10,80,2000,1,0.05,0.2
65,-4.575,2,6,10,80,2000,1,0.05,0.2
70,-6.15,1,6,10,80,2000,1,0.05,0.2
75,-6.95,2,6,10,80,2000,1,0.05,0.2
80,-8.225,1,6,10,80,2000,1,0.05,0.2
85,-4.075,3,6,10,80,2000,1,0.05,0.2
90,-6.725,1,6,10,80,2000,1,0.05,0.2
95,-5.2,3,6,10,80,2000,1,0.05,0.2
100,-1.65,3,6,10,80,2000,1,0.05,0.2
105,-2.125,3,6,10,80,2000,1,0.05,0.2
110,-3.85,3,6,10,80,2000,1,0.05,0.2
115,-2.575,2,6,10,80,2000,1,0.05,0.2
120,-4.625,1,6,10,80,2000,1,0.05,0.2
125,-1.95,3,6,10,80,2000,1,0.05,0.2
130,-3.05,2,6,10,80,2000,1,0.05,0.2
135,-4.175,2,6,10,80,2000,1,0.05,0.2
140,-2.975,2,6,10,80,2000,1,0.05,0.2
145,-1.9,2,6,10,80,2000,1,0.05,0.2
150,-5.45,2,6,10,80,2000,1,0.05,0.2
155,-4.025,1,6,10,80,2000,1,0.05,0.2
160,-7.8,1,6,10,80,2000,1,0.05,0.2
165,-5.375,2,6,10,80,2000,1,0.05,0.2
170,-5.95,1,6,10,80,2000,1,0.05,0.2
175,-4.4,2,6,10,80,2000,1,0.05,0.2
180,-4.65,3,6,10,80,2000,1,0.05,0.2
185,-7.75,2,6,10,80,2000,1,0.05,0.2
190,-5.925,3,6,10,80,2000,1,0.05,0.2
195,-2.8,3,6,10,80,2000,1,0.05,0.2
200,-3.7,3,6,10,80,2000,1,0.05,0.2
205,-6.425,1,6,10,80,2000,1,0.05,0.2
210,-4.725,3,6,10,80,2000,1,0.05,0.2
215,-7.625,2,6,10,80,2000,1,0.05,0.2
220,-5.5,2,6,10,80,2000,1,0.05,0.2
225,-8.225,1,6,10,80,2000,1,0.05,0.2
230,-6.575,1,6,10,80,2000,1,0.05,0.2
235,-5.4,2,6,10,80,2000,1,0.05,0.2
240,-6.3,2,6,10,80,2000,1,0.05,0.2
