Score, Seed, Gene
1, 904424, 055431333313331110201245115514040424542222110250253000512534245030555042320125233442031040345021021012255024453111412015110023012323332022135535032213032151150223214143130023403031305133451405432553400351311324002222543352253150555121312112313
2, 904424, 051330105514210255241405052134354313003003001332135202430000051301015555155442552313023515422245232233551505230142534505152554100035151410122444130220431033533331225423155033303521140451335341034513022355350153523525221254521033353115120351320
3, 904424, 250235103225215353041301211333554353100545301350305202440520050301055522135412535313023515322243132233551525235141331505132554000031550451133502413325333130533243403333143030005155055232330414454434004324450353325525225254521533010025120205320
4, 904424, 255235101155313300015300111351010502100200050522325523225031051110352325120512335313033535122042231200153202135105525311325230112013203312023135023550513030255325211520100525122502530333315100550522155525030221312155153522511130323155120351520
6, 904424, 255235101155313300015000111351010512100201250523325523225031051110313525122311521005133333321043513550352202035225030355025530212303203310123135323250513031255335231520100122122502530523302100501052150525030521332053153022511130523155220321215
8, 72422, 151253102025005350030353110113322503513103303025053513053332215221115021202123103255505230552101505311150551053123000303303231220312212311351323230330325520553312131003331121001020330213253331033030303002030212310000311013031332101125512253025
9, 65896, 250323001252235221505335121155350125155023130300001310000220015333550233005521320225225503530011505153133310351105022255115502332030211002315551225313210133120023323203001502012223211353323153305333231303222531232211133101525123532155322010511
11, 145430, 035502330252230153151153231211331225323252323100331302051331105300021513003532215303005520233302300123513153332055101105355011133031550103053001022200533050221055203212005513232135053232310022152120535555535202013213335105532503302351352502002
12, 44324, 353151152251015135325212522155531112505152030313205323155321151551301222255531152055211125021222030020123035022121212035113202220311531053015130035225323152231155151151022501532112300523253211025225323231132303202513050510235030321020330122222
15, 299300, 253352022252311505155531332155032253325035320152305001053021102013352532030001355105513120051110200003533121132520050213012303531332152025312010121335205003350322105253000555353550333351155210015025012021322023511151315500553112351522030150121
16, 308156, 310322533322210052553513252151031113250510210052200312300101122055050103010111151053213033051032250203523311152530532323325133333053002253000505151221100155052022212055225122235112000332522252502252013113011102221311201502202035211352553315301
19, 180488, 512351332253022510033013110031315531553112021205330001335530502105251130555151013052000202250150153053035123512500350123500033211135513231102251150202022255230351132032322132150133351312351101223333021155300233350213321025310323350135525051335
20, 403731, 351355252213322555130105150003250225103223255355103035122230522012115110520200115050051030011023555053323031155312220200125552131015002035122335302052003011115205153522532033523235530012522555151023202003213335005252330103533351522503305001555
22, 461971, 052350132253252121135352101110303322331001552055035051221311251320022321035512001102305112233320235111320521003102025350320502353501321522023153231310533101010135132102502102153123555033223213310001251210251353323300222003252330552011301355501
23, 461971, 050350150253255103130352001110003302032001512055035552250511251220022325055512102102005112233320235111322221050112025350220501051501321222003153222510533101010155132102501202153123555030223513310503351210251032303000222503552350552025231332501
24, 333102, 152350522125331133205150550133351500325120530253552253053315212250351255212311031050352111123055252122152512212202101052222325350525113322121101135002102500230310353355123350052302221523021101523310535532201151300001501111330303002510203305001
25, 333102, 152350522125131133205200550153351300325125530253552253053312212250351255213321031050352011123050252110155512212203301052222325350325133322121101235002002500230310353315123550051102231523221301353310130511002552302051101111330303503110113105001
27, 384271, 353030250255350300152111111150152200513251332115000321352222115251332211151312013205031200200522232035033100000502013013330522521212521215055235351310352510521501353013550505320152111531255030251210525522035010051011203020535551251215125520123
