Generation,Current Average,Current High,Size,TurnLim,Mutations,newseedfreq,Inequity,oldvsnew,percChild,Score To Beat
30,-7.2,3,11,100,45,0,10.0,0.05,0.2,5
60,-17.35,1,11,100,45,0,10.0,0.05,0.2,6
90,-13.7,2,11,100,45,0,10.0,0.05,0.2,6
120,-20.625,3,11,100,45,0,10.0,0.05,0.2,6
150,-24.75,4,11,100,45,0,10.0,0.05,0.2,6
180,-9.6,4,11,100,45,0,10.0,0.05,0.2,6
210,-6.875,4,11,100,45,0,10.0,0.05,0.2,7
240,-3.275,4,11,100,45,0,10.0,0.05,0.2,7
270,-15.6,6,11,100,45,0,10.0,0.05,0.2,7
300,-10.2,6,11,100,45,0,10.0,0.05,0.2,7
330,-15.5,3,11,100,45,0,10.0,0.05,0.2,8
360,-14.725,6,11,100,45,0,10.0,0.05,0.2,8
390,-7.175,6,11,100,45,0,10.0,0.05,0.2,8
420,-7.225,6,11,100,45,0,10.0,0.05,0.2,8
450,-16.05,6,11,100,45,0,10.0,0.05,0.2,8
480,-25.2,6,11,100,45,0,10.0,0.05,0.2,8
510,-13.675,6,11,100,45,0,10.0,0.05,0.2,8
540,-6.475,6,11,100,45,0,10.0,0.05,0.2,8
570,-12.875,6,11,100,45,0,10.0,0.05,0.2,8
600,-11.65,6,11,100,45,0,10.0,0.05,0.2,8
630,0.35,6,11,100,45,0,10.0,0.05,0.2,8
660,-11.125,6,11,100,45,0,10.0,0.05,0.2,8
690,-15.975,7,11,100,45,0,10.0,0.05,0.2,8
720,-14.55,8,11,100,45,0,10.0,0.05,0.2,8
750,-6.975,1,11,100,45,0,10.0,0.05,0.2,9
780,-16.75,2,11,100,45,0,10.0,0.05,0.2,9
810,-13.875,3,11,100,45,0,10.0,0.05,0.2,9
840,-6.45,4,11,100,45,0,10.0,0.05,0.2,9
870,-12.775,5,11,100,45,0,10.0,0.05,0.2,9
900,-14.575,6,11,100,45,0,10.0,0.05,0.2,9
930,-11.55,3,11,100,45,0,10.0,0.05,0.2,10
960,-13.75,3,11,100,45,0,10.0,0.05,0.2,10
990,-8.875,5,11,100,45,0,10.0,0.05,0.2,10
1020,-13.275,6,11,100,45,0,10.0,0.05,0.2,10
1050,-40.675,7,11,100,45,0,10.0,0.05,0.2,10
1080,-12.6,7,11,100,45,0,10.0,0.05,0.2,10
1110,-20.85,7,11,100,45,0,10.0,0.05,0.2,10
1140,-17.05,9,11,100,45,0,10.0,0.05,0.2,10
1170,-21.525,9,11,100,45,0,10.0,0.05,0.2,10
1200,-18.85,9,11,100,45,0,10.0,0.05,0.2,10
1230,-6.75,9,11,100,45,0,10.0,0.05,0.2,10
1260,-14.025,9,11,100,45,0,10.0,0.05,0.2,10
1290,-22.125,9,11,100,45,0,10.0,0.05,0.2,10
1320,-11.75,9,11,100,45,0,10.0,0.05,0.2,10
1350,-14.275,9,11,100,45,0,10.0,0.05,0.2,10
1380,-15.0,9,11,100,45,0,10.0,0.05,0.2,10
1410,-21.0,9,11,100,45,0,10.0,0.05,0.2,10
1440,-15.725,9,11,100,45,0,10.0,0.05,0.2,10
1470,-10.225,9,11,100,45,0,10.0,0.05,0.2,10
1500,-11.95,9,11,100,45,0,10.0,0.05,0.2,10
1530,-17.475,9,11,100,45,0,10.0,0.05,0.2,10
1560,-22.35,9,11,100,45,0,10.0,0.05,0.2,10
1590,-5.25,9,11,100,45,0,10.0,0.05,0.2,10
1620,-5.625,9,11,100,45,0,10.0,0.05,0.2,10
1650,-19.925,9,11,100,45,0,10.0,0.05,0.2,10
1680,-24.525,9,11,100,45,0,10.0,0.05,0.2,10
1710,-18.25,9,11,100,45,0,10.0,0.05,0.2,10
1740,-17.3,9,11,100,45,0,10.0,0.05,0.2,10
1770,-3.85,9,11,100,45,0,10.0,0.05,0.2,10
1800,-13.525,9,11,100,45,0,10.0,0.05,0.2,10
1830,-7.575,9,11,100,45,0,10.0,0.05,0.2,10
1860,-18.15,9,11,100,45,0,10.0,0.05,0.2,10
1890,-21.45,1,11,100,45,0,10.0,0.05,0.2,11
1920,-15.7,3,11,100,45,0,10.0,0.05,0.2,11
1950,-23.75,6,11,100,45,0,10.0,0.05,0.2,11
1980,-11.725,6,11,100,45,0,10.0,0.05,0.2,11
2010,-11.325,7,11,100,45,0,10.0,0.05,0.2,11
2040,-16.15,8,11,100,45,0,10.0,0.05,0.2,11
2070,-31.15,8,11,100,45,0,10.0,0.05,0.2,11
2100,-16.2,9,11,100,45,0,10.0,0.05,0.2,11
2130,-4.35,9,11,100,45,0,10.0,0.05,0.2,11
2160,-12.1,9,11,100,45,0,10.0,0.05,0.2,11
2190,-34.95,9,11,100,45,0,10.0,0.05,0.2,11
2220,-9.5,9,11,100,45,0,10.0,0.05,0.2,11
2250,-13.8,9,11,100,45,0,10.0,0.05,0.2,11
2280,-20.35,9,11,100,45,0,10.0,0.05,0.2,11
2310,-12.15,9,11,100,45,0,10.0,0.05,0.2,11
2340,-12.175,9,11,100,45,0,10.0,0.05,0.2,11
2370,-13.325,9,11,100,45,0,10.0,0.05,0.2,11
2400,-17.625,9,11,100,45,0,10.0,0.05,0.2,11
2430,-21.675,9,11,100,45,0,10.0,0.05,0.2,11
2460,-17.2,4,11,100,45,0,10.0,0.05,0.2,12
2490,-9.625,5,11,100,45,0,10.0,0.05,0.2,12
2520,-20.35,5,11,100,45,0,10.0,0.05,0.2,12
2550,-14.05,6,11,100,45,0,10.0,0.05,0.2,12
2580,-17.4,7,11,100,45,0,10.0,0.05,0.2,12
2610,-22.65,10,11,100,45,0,10.0,0.05,0.2,12
2640,-11.475,4,11,100,45,0,10.0,0.05,0.2,13
2670,-21.7,4,11,100,45,0,10.0,0.05,0.2,13
2700,-33.95,4,11,100,45,0,10.0,0.05,0.2,13
2730,-11.425,4,11,100,45,0,10.0,0.05,0.2,13
2760,-6.175,6,11,100,45,0,10.0,0.05,0.2,13
2790,-17.8,6,11,100,45,0,10.0,0.05,0.2,13
2820,-25.875,6,11,100,45,0,10.0,0.05,0.2,13
2850,-36.75,6,11,100,45,0,10.0,0.05,0.2,13
2880,-9.2,6,11,100,45,0,10.0,0.05,0.2,13
2910,-16.875,6,11,100,45,0,10.0,0.05,0.2,13
2940,-6.4,6,11,100,45,0,10.0,0.05,0.2,13
2970,-6.125,6,11,100,45,0,10.0,0.05,0.2,13
3000,-35.225,7,11,100,45,0,10.0,0.05,0.2,13
3030,-4.15,9,11,100,45,0,10.0,0.05,0.2,13
3060,-13.075,10,11,100,45,0,10.0,0.05,0.2,13
3090,-19.025,11,11,100,45,0,10.0,0.05,0.2,13
3120,-10.925,12,11,100,45,0,10.0,0.05,0.2,13
3150,-21.025,12,11,100,45,0,10.0,0.05,0.2,13
3180,-20.125,12,11,100,45,0,10.0,0.05,0.2,13
3210,-19.5,12,11,100,45,0,10.0,0.05,0.2,13
3240,-6.575,12,11,100,45,0,10.0,0.05,0.2,13
3270,-19.725,12,11,100,45,0,10.0,0.05,0.2,13
3300,-9.15,12,11,100,45,0,10.0,0.05,0.2,13
3330,-13.525,12,11,100,45,0,10.0,0.05,0.2,13
3360,-5.475,12,11,100,45,0,10.0,0.05,0.2,13
